Taxonkey,TaxonName,CommonName
600089,Acanthocybium solandri,Wahoo
612962,Allocyttus niger,Black oreo
600487,Ammodytes personatus,Pacific sandeel
603810,Anarhichas denticulatus,Northern wolffish
602501,Anarhichas lupus,Wolf-fish
603811,Anarhichas minor,Spotted wolffish
600512,Anoplopoma fimbria,Sablefish
690201,Apostichopus japonicus,Japanese sea cucumber
610220,Arius thalassinus,Giant seacatfish
690024,Artemesia longinaris,Argentine stiletto shrimp
600093,Auxis rochei rochei,Bullet tuna
600094,Auxis thazard thazard,Frigate tuna
600319,Boreogadus saida,Polar cod
600391,Brama brama,Atlantic pomfret
601589,Brevoortia patronus,Gulf menhaden
600051,Brosme brosme,Tusk
690203,Cancer borealis,Jonah crab
690031,Cancer irroratus,Atlantic rock crab
690115,Cancer magister,Dungeness crab
690119,Cancer pagurus,Edible crab
690087,Cardium edule,Common edible cockle
600548,Cetengraulis mysticetus,Pacific anchoveta
600507,Chelidonichthys kumu,Bluefin gurnard
601366,Chelidonichthys lucerna,Tub gurnard
690313,Chionoecetes opilio,Queen crab
600024,Clupea harengus,Atlantic herring
601520,Clupea pallasii pallasii,Pacific herring
600303,Cololabis saira,Pacific saury
690127,Concholepas concholepas,False abalone
600231,Coregonus albula,Vendace
602669,Coregonus autumnalis,Arctic cisco
600232,Coregonus lavaretus,Common whitefish
602674,Coregonus nasus,Broad whitefish
600233,Coregonus oxyrinchus,Houting
600006,Coryphaena hippurus,Common dolphinfish
690091,Crangon crangon,Common shrimp
690283,Crassostrea gigas,Pacific cupped oyster
690232,Crassostrea rhizophorae,Mangrove cupped oyster
690009,Crassostrea virginica,American cupped oyster
600062,Cyclopterus lumpus,Lumpsucker
600405,Cynoscion nebulosus,Spotted weakfish
600407,Cynoscion striatus,South American striped weakfish
600374,Decapterus russelli,Indian scad
600063,Dicentrarchus labrax,European seabass
600394,Dicentrarchus punctatus,Spotted seabass
600467,Dissostichus eleginoides,Patagonian toothfish
607039,Dissostichus mawsoni,Antarctic toothfish
601659,Engraulis anchoita,Argentine anchoita
601661,Engraulis capensis,Cape anchovy
